Episode,Cumulative Reward,Epsilon,Average Q-Value,Steps
0,41.70204842090607,1.0,0.06545893247622231,47
10,42.04403913021088,0.9950112350131176,0.1088067143977443,47
20,28.46337527036667,0.9900473578023296,0.13522518395203292,33
30,4.081646680831909,0.98510824420837,0.1815923674116234,8
40,28.734911859035492,0.9801937706913741,0.2147953489791469,33
50,2.4355483055114746,0.9753038143277888,0.2681704812080417,6
60,8.062188446521759,0.9704382528072976,0.29898914627045525,12
70,3.2182405591011047,0.9655969644297613,0.3295232473598897,7
80,30.774154841899872,0.9607798281021742,0.3714634750599592,35
90,53.59147870540619,0.9559867233356352,0.3999394972839921,59
100,18.59409987926483,0.951217530242334,0.42402342762131895,23
110,18.204999089241028,0.9464721295325524,0.4360646626991178,22
120,45.45869034528732,0.9417504025116805,0.44791174286701274,50
130,10.213527798652649,0.937052231077248,0.46126971484508306,14
140,26.355346500873566,0.9323774977159699,0.4787785749764705,30
150,2.1450398564338684,0.9277260855008077,0.49303461670222176,6
160,79.1532968878746,0.923097878088044,0.5163434655876691,87
170,21.404268622398376,0.9184927597143733,0.527092956979233,26
180,8.278334736824036,0.9139106151940054,0.5424578227588943,12
190,-2.1768510341644287,0.9093513299157857,0.5544766551769257,1
200,1.266987681388855,0.9048147898403269,0.5736899005630086,5
210,12.984710276126862,0.9003008814971583,0.5910539116816168,17
220,16.655961513519287,0.895809491981886,0.599161592825194,21
230,1.2448976039886475,0.8913405089533699,0.6071273710520347,5
240,10.195005536079407,0.8868938206309135,0.6202821003976123,14
250,9.886976420879364,0.8824693157914677,0.6342911813511752,14
260,51.15244126319885,0.8780668837668493,0.6464260709107617,57
270,3.969606101512909,0.8736864144409725,0.659045715630701,8
280,26.435101687908173,0.8693277982470946,0.6708721110546717,32
290,9.430854856967926,0.864990926165076,0.6820311614313715,13
300,9.849037945270538,0.8606756897186528,0.6903911005274588,14
310,26.950962126255035,0.8563819809727236,0.7012990928466701,31
320,6.300068795681,0.8521096925306499,0.7107864171051053,10
330,14.609860837459564,0.84785871753157,0.7192485462146825,19
340,5.886458933353424,0.8436289496477257,0.7260688377827315,10
350,13.09280401468277,0.8394202830818028,0.7331367097384108,17
360,2.9653648734092712,0.8352326125642855,0.7252443703657879,7
370,1.1679211854934692,0.8310658333508228,0.7307026077169393,5
380,17.124198257923126,0.8269198412196082,0.7401306373607764,22
390,46.3864044547081,0.8227945324687735,0.7495680782503666,52
400,18.296359717845917,0.8186898039137951,0.7560537983492555,22
410,0.4435731768608093,0.8146055528849124,0.767568018659552,4
420,58.20446473360062,0.8105416772245603,0.7710700097261342,64
430,43.28881824016571,0.8064980752848135,0.7728282510854512,49
440,25.48730731010437,0.8024746459248447,0.7896712211604772,31
450,104.82360011339188,0.7984712885083941,0.7990057857266556,110
460,25.70629209280014,0.7944879029012528,0.8062441440357054,31
470,-1.3568792343139648,0.7905243894687576,0.8159569380004279,2
480,27.987824857234955,0.7865806490732993,0.827688063909471,34
490,25.192646145820618,0.7826565830718433,0.8347483359232863,29
500,20.17882263660431,0.7787520933134615,0.8453033062635225,24
510,52.57960605621338,0.7748670821368779,0.8526559636020306,59
520,1.2666078209877014,0.7710014523680259,0.858305694571791,5
530,10.328619003295898,0.7671551073176169,0.8635684809082759,15
540,27.30835396051407,0.7633279507787228,0.8695791571452449,32
550,26.284332990646362,0.7595198870243695,0.8763660952576245,31
560,247.50968831777573,0.7557308208051414,0.8855781257603753,256
570,8.352073550224304,0.751960657346801,0.8938664892364709,13
580,83.92367440462112,0.748209302347916,0.908594451130262,91
590,101.88203084468842,0.7444766619775032,0.9176691250682025,108
600,27.226261615753174,0.7407626428726788,0.9211998074780575,31
610,13.372799754142761,0.737067152136325,0.9296063680863157,18
620,54.12002754211426,0.7333900973347661,0.9320840480580803,58
630,75.0208398103714,0.7297313864954562,0.9384306426660415,82
640,25.770329236984253,0.7260909281046787,0.9390071223961637,30
650,40.421999633312225,0.7224686311052574,0.941788760375879,45
660,47.298979461193085,0.7188644048942786,0.9461252350413317,53
670,39.901277244091034,0.7152781593208262,0.9458648516160743,44
680,73.01361584663391,0.7117098046837247,0.9500824229816078,80
690,65.14784967899323,0.7081592517292976,0.9142947572697729,71
700,44.84487849473953,0.7046264116491338,0.9205566914605489,50
710,19.078695237636566,0.7011111960778661,0.9229326624413485,23
720,6.437907159328461,0.6976135170909614,0.9283393696210823,11
730,17.698221266269684,0.6941332872025221,0.9330208354917302,22
740,56.614732444286346,0.6906704193630966,0.9397543499389419,61
750,8.03967535495758,0.6872248269575028,0.9511726540634158,12
760,17.828409671783447,0.6837964238026608,0.9536303191947736,22
770,20.14031010866165,0.6803851241454388,0.8559910963833338,25
780,60.12136113643646,0.6769908426605066,0.8613423523991374,66
790,-0.5182018280029297,0.673613494448202,0.8704835560475295,3
800,31.222103357315063,0.6702529950324074,0.8749344474727495,36
810,109.0690485239029,0.6669092603584367,0.88010494147892,115
820,113.93124604225159,0.6635822067909328,0.8880173097601503,123
830,27.691034018993378,0.660271751111776,0.8633531350240534,32
840,83.51185882091522,0.6569778105180021,0.865266737389305,89
850,122.04866725206375,0.6537003026197313,0.8563158162042875,128
860,10.224644482135773,0.6504391454381077,0.8592111825731755,14
870,28.623066008090973,0.6471942574032484,0.8599462558744351,33
880,60.424126505851746,0.6439655573522038,0.8610111233593275,66
890,75.6530089378357,0.6407529645269272,0.8151719733394314,84
900,0.43690013885498047,0.637556398572254,0.7936919843778594,4
910,44.69207566976547,0.634375779533894,0.7967309369062677,49
920,42.83203446865082,0.6312110278564291,0.7991600498690875,50
930,16.302845239639282,0.6280620643813251,0.8000608110898974,20
940,12.333296656608582,0.6249288103449504,0.7929989836000532,16
950,35.32519716024399,0.6218111873766076,0.7941443846966616,41
960,30.816636204719543,0.6187091174965714,0.7962160216258236,35
970,210.66851663589478,0.6156225231141397,0.7983421331992052,220
980,116.87788379192352,0.6125513270256917,0.7810666983030141,123
990,50.542474925518036,0.6094954524127577,0.7798975131067586,55
1000,31.05499243736267,0.606454822840097,0.7824132094785357,37
1010,208.8891316652298,0.6034293622537864,0.7839276292264109,217
