Episode,Cumulative Reward,Epsilon,Average Q-Value,Steps
0,41.70204842090607,1.0,0.05285783226630324,47
10,13.837944567203522,0.9950112350131176,0.08354497585956396,18
20,28.795565724372864,0.9900473578023296,0.12394011697372534,33
30,5.098341107368469,0.98510824420837,0.171647502141546,9
40,35.731610894203186,0.9801937706913741,0.2242978245622802,40
50,6.04760354757309,0.9753038143277888,0.2406157585008398,10
60,25.659049808979034,0.9704382528072976,0.26785442109780677,30
70,39.26766395568848,0.9655969644297613,0.2899378760952189,45
80,100.0118858218193,0.9607798281021742,0.3180650936942947,107
90,3.02628231048584,0.9559867233356352,0.36958771076069713,7
100,23.75113320350647,0.951217530242334,0.37690279421428147,28
110,11.94192785024643,0.9464721295325524,0.39222036613737793,16
120,15.183007717132568,0.9417504025116805,0.40108294345858614,19
130,6.6858115792274475,0.937052231077248,0.43306274508500553,11
140,13.471109211444855,0.9323774977159699,0.4569044051228596,18
150,33.7173427939415,0.9277260855008077,0.4848652071882796,39
160,23.123237431049347,0.923097878088044,0.4959368651753391,27
170,18.881193220615387,0.9184927597143733,0.518806868792204,23
180,24.86730706691742,0.9139106151940054,0.5246590785265786,29
190,8.02075308561325,0.9093513299157857,0.5120948230045038,13
200,7.435448586940765,0.9048147898403269,0.5119348854176883,12
210,13.967415928840637,0.9003008814971583,0.5189374828072794,18
220,45.14162629842758,0.895809491981886,0.528956829483375,50
230,7.254172325134277,0.8913405089533699,0.5373302912368021,12
240,44.19408643245697,0.8868938206309135,0.5482725011115495,49
250,13.247224986553192,0.8824693157914677,0.5496230846533519,17
260,12.062288761138916,0.8780668837668493,0.5632663652041915,16
270,22.78890550136566,0.8736864144409725,0.5763213106338874,28
280,47.428364515304565,0.8693277982470946,0.5859531208579595,52
290,19.210849463939667,0.864990926165076,0.5997072709445511,23
300,12.226068258285522,0.8606756897186528,0.6097204822623611,16
310,8.695367693901062,0.8563819809727236,0.6173905465295935,13
320,72.11866384744644,0.8521096925306499,0.6280939294753325,80
330,44.00308936834335,0.84785871753157,0.6357326896570483,49
340,3.1907230019569397,0.8436289496477257,0.6392125929800078,7
350,45.39341652393341,0.8394202830818028,0.6535177730512943,51
360,93.61487603187561,0.8352326125642855,0.6703805820385395,103
370,73.22270119190216,0.8310658333508228,0.6805895792115102,81
380,15.13821655511856,0.8269198412196082,0.6948173848864979,19
390,2.090520441532135,0.8227945324687735,0.702649614495773,6
400,44.94156676530838,0.8186898039137951,0.7105430596337672,50
410,38.313954174518585,0.8146055528849124,0.7230455392770065,43
420,-1.349077045917511,0.8105416772245603,0.7376073598856366,2
430,5.86546516418457,0.8064980752848135,0.7426733845855654,10
440,17.578028798103333,0.8024746459248447,0.7471181858832161,22
450,31.780805349349976,0.7984712885083941,0.7441595868150183,37
460,24.476691901683807,0.7944879029012528,0.7501952280639025,30
470,-2.1814849376678467,0.7905243894687576,0.7551816361896893,1
480,14.220398426055908,0.7865806490732993,0.7599605420687886,18
490,39.9471932053566,0.7826565830718433,0.7644701554655424,46
500,7.93466192483902,0.7787520933134615,0.7690225805805229,12
510,2.9480400681495667,0.7748670821368779,0.7715100700558518,7
520,3.1076934933662415,0.7710014523680259,0.7770140811305214,7
530,6.694155991077423,0.7671551073176169,0.7814251674403341,11
540,41.902354180812836,0.7633279507787228,0.7928118879207967,46
