Episode,Cumulative Reward,Epsilon,Average Q-Value,Steps
0,41.70204842090607,1.0,9.910869816605786,47
10,47.051400661468506,0.9950112350131176,9.516661147941374,53
20,10.030050456523895,0.9900473578023296,8.396634485093223,14
30,14.570074498653412,0.98510824420837,8.601951350205368,20
40,7.4849677085876465,0.9801937706913741,9.683374838093052,11
50,11.593138098716736,0.9753038143277888,9.933996547788977,16
60,15.049531161785126,0.9704382528072976,10.060439503055004,19
70,46.02044576406479,0.9655969644297613,10.161307550949576,52
80,59.71304339170456,0.9607798281021742,10.519608312500454,66
90,7.317350804805756,0.9559867233356352,10.604028169983208,12
100,39.54780489206314,0.951217530242334,10.83919671933425,44
110,7.922651767730713,0.9464721295325524,10.992963820674792,12
120,35.36041480302811,0.9417504025116805,10.534067718128657,40
130,13.747909247875214,0.937052231077248,10.5356647890637,18
140,27.948979139328003,0.9323774977159699,10.443672627687365,32
150,3.9287667870521545,0.9277260855008077,10.77362376514604,8
160,13.505894958972931,0.923097878088044,11.196090359692379,17
170,18.243145644664764,0.9184927597143733,11.026960717352294,23
180,14.733936786651611,0.9139106151940054,11.183393003059004,19
190,-1.349324107170105,0.9093513299157857,12.153315221460064,2
200,37.72248315811157,0.9048147898403269,12.223474642631109,44
210,41.263569593429565,0.9003008814971583,12.072367712747402,46
220,5.980212926864624,0.895809491981886,11.97510633699133,10
230,0.37717199325561523,0.8913405089533699,12.311379986571573,4
240,15.840780913829803,0.8868938206309135,12.236971009722483,20
250,22.116425096988678,0.8824693157914677,12.451774788813072,26
260,5.789123773574829,0.8780668837668493,12.588690931572238,10
270,51.126115918159485,0.8736864144409725,12.935522077079769,57
280,15.300678253173828,0.8693277982470946,12.881393894329973,19
290,63.49043357372284,0.864990926165076,11.772917524224141,68
300,15.16283267736435,0.8606756897186528,11.713214339879496,19
310,29.297830879688263,0.8563819809727236,11.677380234299735,34
320,18.745730876922607,0.8521096925306499,11.984895186626373,24
330,107.78134214878082,0.84785871753157,12.232723648849014,116
340,35.051807940006256,0.8436289496477257,12.1935518337309,41
350,9.031199395656586,0.8394202830818028,12.452057726472654,13
360,22.18098074197769,0.8352326125642855,12.679806112744801,27
370,115.78702944517136,0.8310658333508228,12.49586470379115,127
380,59.70495963096619,0.8269198412196082,12.439516492889535,65
390,24.933263659477234,0.8227945324687735,12.599371143425444,30
400,95.08176189661026,0.8186898039137951,12.610696666362909,103
410,9.17928808927536,0.8146055528849124,12.667247154776007,14
420,0.3448728322982788,0.8105416772245603,12.780693613457467,4
430,0.42368006706237793,0.8064980752848135,13.058637370193592,4
440,92.90426903963089,0.8024746459248447,13.285258273806745,100
450,49.857261657714844,0.7984712885083941,13.322579218117365,57
460,58.58603823184967,0.7944879029012528,13.250009673442085,65
470,-2.1814849376678467,0.7905243894687576,13.276695287921216,1
480,3.990618884563446,0.7865806490732993,13.327906074895127,8
490,26.687516689300537,0.7826565830718433,13.261370744358633,31
500,48.607370495796204,0.7787520933134615,12.963761876336651,54
510,16.39799827337265,0.7748670821368779,12.991558919315215,21
520,30.360229551792145,0.7710014523680259,12.944543266364956,36
530,38.66392183303833,0.7671551073176169,12.789898786443935,46
540,36.78147608041763,0.7633279507787228,13.30718839667058,42
550,-2.1777141094207764,0.7595198870243695,13.25988561952894,1
560,6.762690365314484,0.7557308208051414,13.316450678975635,11
570,1.1537392735481262,0.751960657346801,13.462874082820758,5
580,45.40120369195938,0.748209302347916,13.672063844995339,51
590,234.83385050296783,0.7444766619775032,13.60322001989868,246
600,16.20292055606842,0.7407626428726788,13.627701418066545,20
610,98.84714490175247,0.737067152136325,13.66163686976871,106
620,197.57554680109024,0.7333900973347661,13.754096859765545,208
630,24.23786836862564,0.7297313864954562,13.996020454567084,28
640,201.8505346775055,0.7260909281046787,14.2886753274837,215
650,100.17028146982193,0.7224686311052574,14.413027299148464,107
660,77.4825131893158,0.7188644048942786,14.725019655980836,85
670,16.368277728557587,0.7152781593208262,14.936444190068052,21
680,49.6643483042717,0.7117098046837247,14.947987787305546,54
690,68.7007257938385,0.7081592517292976,15.014002479733474,75
700,54.39152032136917,0.7046264116491338,15.037657490230458,60
710,69.19708025455475,0.7011111960778661,15.124881699995868,76
720,18.220701217651367,0.6976135170909614,15.038039024486372,23
730,21.613506615161896,0.6941332872025221,15.56603907207346,26
740,41.5790513753891,0.6906704193630966,15.630930764641882,46
750,156.54892295598984,0.6872248269575028,15.911815722015895,163
760,160.20912319421768,0.6837964238026608,16.196754740545096,168
770,114.38897448778152,0.6803851241454388,16.406019247742428,121
780,124.07103842496872,0.6769908426605066,16.601125909148507,132
790,146.35458344221115,0.673613494448202,16.740773706979176,152
800,125.30125743150711,0.6702529950324074,16.903740574721315,132
810,90.28350573778152,0.6669092603584367,16.998620246453804,96
820,104.21965712308884,0.6635822067909328,16.992339967904567,110
830,33.783603727817535,0.660271751111776,17.111496626267314,38
840,73.71247333288193,0.6569778105180021,17.426423300605315,81
850,112.1724488735199,0.6537003026197313,17.529526127136933,119
860,376.5065127015114,0.6504391454381077,17.568057304006242,387
870,79.55858665704727,0.6471942574032484,17.823793518526458,85
880,63.79068499803543,0.6439655573522038,17.93694474247918,69
890,132.38258814811707,0.6407529645269272,18.02505465846496,138
900,378.99654817581177,0.637556398572254,18.152716246420944,385
910,276.3673207163811,0.634375779533894,18.854105601976293,288
920,295.8653057217598,0.6312110278564291,19.079221873214497,308
930,12.624726116657257,0.6280620643813251,19.090429870586913,17
940,21.476008474826813,0.6249288103449504,19.177509452464975,25
